<نماد>,<وضعیت در سود بودن نماد>,<حجم>,<تعداد>,<ارزش>,<ارزش مفهومی>,<موقعیت های باز>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<حجم خرید>,<قیمت خرید>,<قیمت فروش>,<حجم فروش>,<اندازه قرارداد>,<قیمت اعمال>,<روز باقی مانده تا سررسید>,<نماد پایه>,<پایانی دارایی پایه>,<درصد تغییر>,<آخرین معامله دارایی پایه>,<درصد تغییر>,<تاریخ شروع>,<تاریخ پایان>,<حجم فروش>,<قیمت فروش>,<قیمت خرید>,<حجم خرید>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<موقعیت های باز>,<ارزش مفهومی>,<ارزش>,<تعداد>,<حجم>,<وضعیت در سود بودن نماد>,<نماد>
ضذوب8021,ITM,2461,29,845999000.00,1357575000.00,24206,-0.20,344,-1.71,356,1.71,116,314,356,330,1000,300,72,ذوب,575,2.86,575,2.86,20260815,20261111,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طذوب8021
ضهرم6046,ITM,6475,213,80632871000.00,376320525000.00,171563,-3.64,12453,-7.29,12200,-9.17,22,12300,12590,34,1000,46000,16,اهرم,58122,-1.30,57989,-1.53,20260620,20260916,100,185,121,1000,-53.76,129,-46.24,150,-4.13,107763,269886060000.00,695007000.00,106,4644,OTM,طهرم6046
ضهمن7038,OTM,0,0,0.00,0.00,8542,0,100,0,100,0,1000,10,100,1000,1000,3500,51,خبهمن,2722,-2.82,2717,-3.00,20260818,20261021,0,0,2,1000,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طهمن7038
ضملت8079,OTM,4004,29,404615000.00,6228668000.00,51825,0.77,101,31.17,109,41.56,200,99,104,1,1000,1900,72,وبملت,1555,1.50,1542,0.65,20260815,20261111,0,0,11,111,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طملت8079
ضخود7129,ITM,12370,64,4008013000.00,8467588000.00,338944,0.01,324,-2.99,324,-2.99,420,320,330,1000,1000,400,30,خودرو,714,-2.19,717,-1.78,20260701,20260930,14817,2,1,48759,-33.33,2,-66.67,1,16.86,249573,44206000000.00,86366000.00,91,62183,OTM,طخود7129
ضخود8052,ITM,6279,69,2409819000.00,4476927000.00,97318,0,384,-3.27,392,-1.26,500,392,395,30,1000,340,58,خودرو,714,-2.19,717,-1.78,20260801,20261028,1000,14,1,100,0,14,0,14,0,209,0.00,0.00,0,0,OTM,طخود8052
ضتاص7003,ITM,0,0,0.00,0.00,317,0,16840,0,16840,0,0,0,0,0,1000,10000,30,تاصيكو,22180,0,22180,0,20260610,20260930,0,0,0,0,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طتاص7003
ضتاص7005,ITM,0,0,0.00,0.00,934,0,9370,0,9200,-1.81,0,0,0,0,1000,12000,30,تاصيكو,22180,0,22180,0,20260610,20260930,0,0,0,0,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طتاص7005
ضسپا6038,ITM,2380,17,818875000.00,1482480000.00,16247,-0.03,344,2.99,345,3.29,10,301,346,500,1000,360,16,خساپا,696,1.90,695,1.76,20260620,20260916,0,0,0,0,0,2,0,2,0,200,0.00,0.00,0,0,OTM,طسپا6038
ضسپا6049,OTM,156994,328,953563000.00,108729816000.00,1147281,12.95,6,-14.29,5,-28.57,11227,5,6,191948,1000,900,16,خساپا,696,1.90,695,1.76,20260620,20260916,0,0,29,99,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طسپا6049
